ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
40000000000001,0,0,1041810000000.0,1970,498145.07114145,496039.95702642,484437.2408949,-86.8,125.42,416.49,244.09,33.2,7.45263,0.69816,13.74519,469.35,506.683672,443.28,0.033999,0.037557,-0.8477,-0.005829,0.5304,0.756249,0.524183,0.146908,0.360861,0.920976,0.977843,-0.193361,-0.080216,0.149134,0.912355,-0.381271,199.32,16,1.0,1.02354e+17,-1.8395e+17,-1.88197e+16,1073100.0,14.197,1,[39000000000001],5.993,40
40000000000002,0,1,602533000000.0,1109,507789.78580938,512012.53515833,493531.55099294,-91.98,-254.44,154.69,203.24,83.64,29.69409,2.84555,13.20575,328.68,422.286258,338.01,0.011014,0.011842,-0.4768,0.8007,0.3627,0.6314,0.580559,-0.553824,-0.373078,0.744373,0.077652,0.866959,0.492292,-0.829005,0.330446,-0.451172,199.71,15,1.0,3.44198e+16,-6.54703e+16,-1.3668e+16,596538.0,6.32885,1,[39000000000002],5.993,40
40000000000003,0,0,502461000000.0,946,520290.95294838,496554.76789321,492973.02906414,-351.23,-44.34,247.88,192.23,38.62,8.10618,3.89854,8.09457,377.21,396.512152,348.55,0.01887,0.022649,-0.3045,0.9482,-0.09022,0.846255,0.559711,0.592754,0.37388,0.713341,0.032827,0.873765,-0.48524,0.804714,-0.311045,-0.505654,196.81,14,1.0,3.05206e+16,-5.89727e+16,-5152240000000000.0,656495.0,15.7274,1,[39000000000003],5.993,40
40000000000004,0,0,559541000000.0,876,497754.93281697,491928.64194923,494570.56587989,-18.17,297.22,234.94,198.21,93.38,72.12574,1.61701,12.45792,343.03,412.072922,386.45,0.018681,0.018668,-0.1041,0.8604,0.4988,0.650373,0.506147,-0.636258,0.195299,0.746347,0.768659,0.077881,0.6349,0.065869,0.977647,-0.19967,199.94,14,1.0,4.17826e+16,-6.55014e+16,-7747030000000000.0,618882.0,8.99859,1,[39000000000006],5.993,40
40000000000005,0,1,590982000000.0,873,509785.04220645,494048.11561108,502110.17429829,-239.96,59.35,58.04,202.09,134.36,33.40067,6.04347,10.00299,327.11,419.398233,344.81,0.041407,0.039933,0.1181,0.9069,0.4044,0.77187,0.679043,-0.668684,0.676646,0.30824,-0.191021,-0.556972,0.808266,0.71859,0.481594,0.501692,199.21,14,1.0,3.51324e+16,-5.93035e+16,-1.09298e+16,429051.0,6.40645,2,"[39000000000004, 39000000000507]",5.993,40
40000000000006,0,0,498431000000.0,871,491404.03168542,506409.55652509,498603.7497861,114.6,-139.58,-48.45,190.89,72.87,27.47355,4.49863,5.14188,326.45,396.304561,333.26,0.013643,0.015254,-0.1037,-0.4178,0.9026,0.823858,0.720373,-0.436834,0.701707,-0.562835,-0.479105,0.348067,0.805796,0.761337,0.621656,0.184144,199.38,14,1.0,2.76792e+16,-5.21444e+16,-7274710000000000.0,512366.0,8.55537,1,[39000000000005],5.993,40
40000000000007,0,0,500844000000.0,772,511729.29203387,493266.75945951,500314.69839135,-347.98,77.69,84.94,191.72,81.66,14.75163,2.8437,8.39668,334.05,396.404067,356.3,0.041819,0.041554,-0.2963,-0.884,0.3616,0.865496,0.559881,0.608408,0.626711,0.486902,-0.700246,0.135189,0.700984,-0.373491,0.767436,-0.521102,197.76,14,1.0,3.17918e+16,-5.12181e+16,-5940360000000000.0,449215.0,9.52761,2,"[39000000000007, 39000000001187]",5.993,40
40000000000008,0,2,518400000000.0,765,511286.79079725,492473.72012265,502307.14461661,-366.27,157.1,-50.71,193.26,150.81,96.95965,4.81012,28.03754,300.35,404.208547,326.86,0.093176,0.076863,0.9787,-0.1407,0.1495,0.713415,0.530467,-0.30246,-0.544605,0.782256,-0.675973,0.701163,0.226782,0.671996,0.460191,0.580212,199.82,14,1.0,2.76923e+16,-4.19217e+16,-8993070000000000.0,343620.0,4.86041,1,[39000000000008],5.993,40
40000000000009,0,1,483626000000.0,716,511347.78010218,504494.32824787,508396.89844533,-261.42,-153.89,-55.71,189.04,52.96,46.35568,3.08837,10.80564,349.47,392.28281,359.19,0.024145,0.024671,0.917,0.3411,0.2067,0.896593,0.58901,0.356925,0.783103,-0.509269,-0.880111,0.099204,-0.464288,-0.313064,0.613929,0.724625,199.2,14,1.0,3.11988e+16,-5.06248e+16,-6913210000000000.0,531797.0,12.1354,1,[39000000000010],5.993,40
40000000000010,0,0,395297000000.0,694,507324.43461547,510699.0788434,492278.58717377,-101.09,-183.0,283.27,176.64,33.31,174.53771,4.99946,4.46136,341.94,366.886807,313.49,0.032856,0.036158,0.4709,0.7399,-0.4804,0.825237,0.619588,0.113472,0.563737,0.818123,0.981671,0.063292,-0.179768,-0.153123,0.823526,-0.546222,199.55,14,1.0,1.94246e+16,-3.55346e+16,-5220190000000000.0,432254.0,14.5403,1,[39000000000009],5.993,40
40000000000011,0,0,434373000000.0,639,498439.16850976,498397.18219561,523862.3408935,-139.32,-222.61,-161.97,182.9,57.39,46.7095,6.31622,10.4358,299.9,377.955998,298.33,0.075145,0.071085,-0.1108,-0.4998,-0.8591,0.791966,0.607586,0.558197,0.52463,-0.64279,0.436244,0.473416,0.765225,-0.705767,0.707559,-0.035393,197.53,13,1.0,1.93296e+16,-3.32112e+16,-7151660000000000.0,305114.0,7.05933,2,"[39000000000011, 39000000001532]",5.993,40
40000000000012,0,1,387225000000.0,630,478126.48342792,498323.09210716,482564.63141635,243.93,154.56,232.61,175.87,24.85,24.64272,1.78919,13.55379,340.05,363.92067,292.03,0.003392,0.003724,0.7839,0.2969,0.5453,0.678204,0.573726,0.936624,-0.344776,0.062164,-0.195436,-0.366944,0.909482,0.290757,0.863992,0.411071,198.07,13,1.0,1.65119e+16,-3.19625e+16,-5298720000000000.0,413681.0,14.685,2,"[39000000000015, 39000000001849]",5.993,40
40000000000013,0,1,426211000000.0,620,505469.36929226,501387.20571995,508574.08463955,-86.54,5.27,-203.49,181.2,113.0,110.73153,1.51191,8.72298,290.96,376.139587,310.84,0.020529,0.020302,-0.1255,0.6291,0.7672,0.837518,0.609207,0.50361,-0.679751,-0.533213,0.800879,0.135867,0.583209,0.323991,0.720749,-0.612822,199.32,13,1.0,2.0591e+16,-3.53347e+16,-6688710000000000.0,415625.0,6.09903,1,[39000000000012],5.993,40
40000000000014,0,2,417044000000.0,616,484104.33782152,503523.44096425,507801.2440578,92.93,-139.23,-170.27,179.86,127.11,6.28176,4.03268,12.85826,290.01,373.451326,305.58,0.052969,0.049293,-0.2285,-0.6728,-0.7036,0.905691,0.480485,0.662635,0.733548,-0.151074,0.49119,-0.577926,-0.651716,0.565374,-0.357644,0.743265,199.41,13,1.0,1.94713e+16,-3.20641e+16,-5087400000000000.0,373445.0,6.24453,1,[39000000000013],5.993,40
40000000000015,0,0,383674000000.0,578,512083.19862684,492110.59510708,496676.72465245,-230.39,226.2,237.48,174.91,87.27,54.70139,2.73375,21.01931,295.55,363.236897,317.62,0.061805,0.056021,0.8234,0.3091,-0.4759,0.854981,0.61936,-0.330579,0.878164,-0.345754,0.52016,0.475217,0.70965,0.787497,0.054748,-0.613882,199.49,13,1.0,1.93525e+16,-2.97502e+16,-4472150000000000.0,339348.0,8.05097,1,[39000000000014],5.993,40
40000000000016,0,0,364539000000.0,534,489095.95463839,501978.46152716,493454.64880268,160.85,4.24,81.38,176.04,46.5,11.43561,3.01761,9.02801,315.79,352.922377,311.38,0.014583,0.016137,-0.7746,0.6279,0.0753,0.770535,0.598116,0.350461,0.851481,0.390072,-0.283228,-0.300634,0.910715,0.892726,-0.429649,0.135802,185.91,13,1.0,1.76723e+16,-3.15711e+16,-3617960000000000.0,430816.0,12.357,1,[39000000000018],5.993,40
40000000000017,0,0,292876000000.0,531,512299.09604246,500373.03837863,509406.52868964,-354.16,157.5,-231.73,160.09,35.23,11.96993,1.39653,8.06732,293.83,331.725042,279.08,0.028671,0.031466,-0.3743,0.8702,0.3203,0.756481,0.629805,0.708869,-0.682145,-0.179394,0.258417,0.014518,0.965924,0.656296,0.731073,-0.186569,198.62,13,1.0,1.14057e+16,-2.11103e+16,-2603930000000000.0,370996.0,11.8489,1,[39000000000016],5.993,40
40000000000018,0,0,332740000000.0,510,486183.52413177,483078.91781368,478421.23394921,70.17,138.99,142.18,166.71,95.93,28.5126,3.71222,10.8084,293.56,346.486514,300.67,0.036828,0.03845,-0.4663,-0.6169,0.6341,0.653075,0.571111,-0.300274,0.667604,0.681278,-0.085061,-0.730134,0.677989,0.950053,0.145632,0.276027,199.81,13,1.0,1.50399e+16,-2.59255e+16,-1607070000000000.0,327753.0,9.76489,1,[39000000000017],5.993,40
40000000000019,0,2,395214000000.0,505,506341.72133037,497741.18406432,502765.38516794,-226.27,-8.53,100.5,176.64,57.82,61.65066,5.81902,20.44445,288.01,370.143825,305.12,0.046808,0.03702,0.7262,0.3813,-0.572,0.65453,0.447213,-0.641375,0.765282,-0.054605,0.232516,0.261707,0.936721,0.731146,0.588092,-0.345793,199.5,13,1.0,1.83963e+16,-2.67132e+16,-6935310000000000.0,237756.0,6.65342,1,[39000000000029],5.993,40
