ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
47000000000001,0,5,1931780000000.0,3385,498051.27056532,496190.44308053,484989.74581097,-74.31,82.59,389.61,299.15,176.91,263.09787,1.25612,27.5174,429.51,579.114366,487.21,0.034318,0.026077,0.4251,0.7727,-0.4714,0.721825,0.62128,0.434714,0.379708,0.816606,0.884469,-0.009322,-0.466506,-0.169524,0.925059,-0.339892,199.99,18,1.0,2.29279e+17,-3.22103e+17,-7.12383e+16,862657.0,4.69999
47000000000002,0,3,1663410000000.0,2956,500907.95010328,508998.84104729,498110.77676713,41.08,-282.77,22.46,284.62,114.01,117.88921,0.91134,61.7913,409.46,550.613561,471.39,0.058005,0.034711,0.355,0.0531,0.9333,0.683963,0.439334,-0.073911,0.075222,0.994424,0.959532,0.27706,0.050359,-0.271726,0.957904,-0.092656,199.96,18,1.0,1.8481e+17,-2.29675e+17,-1.12425e+17,654238.0,4.77535
47000000000003,0,1,1396300000000.0,2570,505354.02450886,501412.29164538,508288.47913218,-80.29,-27.95,-327.21,268.79,159.77,118.00234,1.15602,12.47557,426.5,517.53219,461.31,0.020665,0.020362,-0.8727,-0.4494,0.1908,0.884397,0.581947,0.771511,-0.554481,-0.311963,0.580552,0.412988,0.701713,0.260249,0.72249,-0.640529,199.29,17,1.0,1.48569e+17,-2.39325e+17,-2.48981e+16,912271.0,8.5785
47000000000004,0,2,1385510000000.0,2359,498248.17839897,498049.19438832,523690.220533,-42.64,-164.67,-230.53,268.22,43.15,114.52251,260.73917,17.28676,502.24,516.027572,515.05,0.037759,0.03667,-0.06976,-0.7632,0.6423,0.846892,0.75361,0.375889,0.921019,-0.102138,0.081661,0.076869,0.993691,0.92306,-0.381858,-0.046317,199.01,17,0.989702,1.83773e+17,-2.70765e+17,-2.80005e+16,946587.0,17.1257
47000000000005,0,0,988272000000.0,1883,497716.98745521,492275.37093936,494824.89840404,-27.34,396.9,263.41,239.6,56.05,94.88428,0.46527,10.23517,401.03,461.111349,398.54,0.028038,0.030858,0.518,0.8059,0.2868,0.671911,0.591096,-0.592416,0.035263,0.80486,0.395091,0.883372,0.252103,0.702101,-0.467343,0.537256,199.13,16,1.0,7.84858e+16,-1.42116e+17,-2.02483e+16,947934.0,10.964
47000000000006,0,1,1221610000000.0,1865,495403.62741416,496944.8773684,481918.07600719,-89.39,48.38,561.79,256.86,100.55,31.64329,3.35113,25.5318,425.94,499.622186,455.31,0.048577,0.0438,0.08239,-0.06431,-0.9945,0.667406,0.535431,0.968421,-0.102579,-0.227242,0.243567,0.194538,0.950174,0.05326,0.975517,-0.213379,199.78,16,1.0,1.26625e+17,-1.87496e+17,-4.50774e+16,668190.0,10.4536
47000000000007,0,0,962265000000.0,1847,507692.81099583,511714.95852799,493689.78050248,-81.06,-304.47,183.6,237.66,143.84,44.55523,2.4505,7.3563,355.94,457.21822,389.45,0.02715,0.026663,-0.9103,-0.396,-0.1208,0.778241,0.715044,-0.390243,-0.236762,0.88975,-0.66086,0.744894,-0.091636,0.641074,0.62376,0.447156,198.69,16,1.0,7.29739e+16,-1.21398e+17,-1.71015e+16,647739.0,6.36466
47000000000008,0,2,908453000000.0,1766,495298.03988061,510646.66307689,489653.29876363,-74.38,-174.24,410.07,233.75,126.67,23.73323,3.62516,9.45238,352.37,447.600177,379.74,0.022653,0.024349,0.4588,-0.6585,0.5966,0.842642,0.648164,0.756913,0.402421,-0.514917,0.511827,0.124875,0.849964,-0.406343,0.906898,0.111451,197.15,16,1.0,6.5502e+16,-1.18071e+17,-1.73297e+16,708325.0,6.75789
47000000000009,0,0,914550000000.0,1675,510863.70181292,492677.90894955,502241.14600569,-395.13,196.16,-26.93,233.94,111.07,52.02867,2.99716,3.76986,356.28,449.308978,374.71,0.036989,0.039434,0.9032,0.4276,-0.03749,0.935466,0.612625,-0.300793,-0.355758,0.88485,0.860573,-0.50112,0.091063,0.411019,0.78887,0.456889,197.99,16,1.0,6.42039e+16,-1.16574e+17,-2.08462e+16,702496.0,7.06679
47000000000010,0,0,917231000000.0,1672,511329.80222796,493321.69735549,500388.76662067,-392.22,54.03,107.98,234.23,96.33,114.64042,1.71249,12.2714,364.64,449.297931,389.37,0.027956,0.030526,-0.7187,-0.6026,0.3469,0.810499,0.60508,-0.107472,0.633648,0.76612,0.77936,0.532139,-0.330796,0.61729,-0.561532,0.55103,197.83,16,1.0,6.95312e+16,-1.24723e+17,-1.31211e+16,768727.0,7.948
