ID,numProgenitors,ProgenitorsID
67000000000001,2,"66000000000001,66000000001326"
67000000000002,2,"66000000000008,66000000005600"
67000000000003,3,"66000000000002,66000000000383,66000000017318"
67000000000004,1,66000000000003
67000000000005,3,"66000000000005,66000000000058,66000000005186"
67000000000006,1,66000000000004
67000000000007,1,66000000000007
67000000000008,2,"66000000000006,66000000019152"
67000000000009,3,"66000000000009,66000000013844,66000000011808"
67000000000010,1,66000000000010
67000000000011,1,66000000000030
67000000000012,1,66000000000015
67000000000013,2,"66000000000013,66000000015085"
67000000000014,2,"66000000000011,66000000018115"
67000000000016,1,66000000000012
67000000000017,1,66000000000016
67000000000018,2,"66000000000014,66000000006317"
67000000000019,1,66000000000017
67000000000020,2,"66000000000018,66000000006731"
67000000000021,2,"66000000000019,66000000010387"
67000000000022,3,"66000000000020,66000000006836,66000000010625"
67000000000023,1,66000000000027
67000000000024,3,"66000000000022,66000000011402,66000000005805"
67000000000025,2,"66000000000026,66000000018268"
67000000000026,2,"66000000000021,66000000008928"
67000000000027,1,66000000000024
67000000000028,1,66000000000023
67000000000029,1,66000000000025
67000000000030,3,"66000000000029,66000000006219,66000000011565"
67000000000031,2,"66000000000032,66000000010628"
67000000000032,1,66000000000031
67000000000033,2,"66000000000035,66000000005004"
67000000000034,2,"66000000000034,66000000009260"
67000000000035,1,66000000000033
67000000000036,1,66000000000039
67000000000037,1,66000000000040
67000000000038,1,66000000000038
67000000000039,1,66000000000041
67000000000040,1,66000000000042
67000000000041,1,66000000000036
67000000000042,1,66000000000043
67000000000043,1,66000000000044
67000000000044,1,66000000000045
67000000000045,2,"66000000000047,66000000006699"
67000000000046,1,66000000000028
67000000000047,1,66000000000066
67000000000048,2,"66000000000050,66000000014835"
67000000000049,1,66000000000048
67000000000050,1,66000000000052
67000000000051,1,66000000000049
67000000000052,1,66000000000053
67000000000053,2,"66000000000070,66000000000237"
67000000000054,2,"66000000000057,66000000003686"
67000000000055,1,66000000000055
67000000000056,1,66000000000059
67000000000057,1,66000000000056
67000000000058,3,"66000000000046,66000000003885,66000000008001"
67000000000059,1,66000000000068
67000000000060,1,66000000000063
67000000000061,1,66000000000062
67000000000062,1,66000000000061
67000000000063,1,66000000000060
67000000000064,1,66000000000065
67000000000065,1,66000000000067
67000000000066,1,66000000000069
67000000000067,1,66000000000054
67000000000068,1,66000000000064
67000000000069,2,"66000000000074,66000000015166"
67000000000070,2,"66000000000071,66000000018913"
67000000000071,2,"66000000000080,66000000003633"
67000000000073,1,66000000000073
67000000000074,1,66000000000075
67000000000075,1,66000000000078
67000000000077,2,"66000000000077,66000000009962"
67000000000078,1,66000000000076
67000000000079,1,66000000000086
67000000000080,1,66000000000079
67000000000081,1,66000000000084
67000000000082,1,66000000000072
67000000000083,1,66000000000082
67000000000084,2,"66000000000083,66000000019803"
67000000000085,2,"66000000000087,66000000012543"
67000000000087,1,66000000000089
67000000000088,1,66000000000170
67000000000089,1,66000000000081
67000000000090,1,66000000000088
67000000000091,1,66000000000096
67000000000092,2,"66000000000085,66000000017745"
67000000000093,2,"66000000000093,66000000006119"
67000000000094,1,66000000000090
67000000000095,1,66000000000091
67000000000096,1,66000000000092
67000000000097,2,"66000000000095,66000000008731"
67000000000098,1,66000000000100
67000000000099,1,66000000000099
67000000000100,4,"66000000000104,66000000000567,66000000013231,66000000012144"
67000000000101,2,"66000000000106,66000000000900"
67000000000102,1,66000000000120
67000000000103,3,"66000000000115,66000000001961,66000000002265"
67000000000104,1,66000000000097
67000000000105,1,66000000000112
67000000000106,1,66000000000105
67000000000107,1,66000000000103
67000000000108,2,"66000000000098,66000000004659"
67000000000109,3,"66000000000109,66000000007931,66000000010015"
67000000000110,3,"66000000000108,66000000003657,66000000003942"
67000000000111,1,66000000000110
67000000000112,1,66000000000101
67000000000113,1,66000000000037
67000000000114,1,66000000000167
67000000000115,1,66000000000102
67000000000116,1,66000000000111
67000000000117,2,"66000000000122,66000000007463"
67000000000118,1,66000000000114
67000000000119,1,66000000000128
67000000000120,1,66000000000162
67000000000121,1,66000000000107
67000000000122,1,66000000000116
67000000000123,2,"66000000000113,66000000007176"
67000000000124,1,66000000000118
67000000000126,1,66000000000119
67000000000127,2,"66000000000138,66000000013193"
67000000000128,1,66000000000123
67000000000129,1,66000000000121
67000000000130,1,66000000000094
67000000000131,1,66000000000135
67000000000132,1,66000000000126
67000000000133,1,66000000000131
67000000000134,1,66000000000117
67000000000135,1,66000000000125
67000000000136,1,66000000000132
67000000000137,1,66000000000130
67000000000138,1,66000000000127
67000000000139,1,66000000000137
67000000000140,3,"66000000000133,66000000008707,66000000011463"
67000000000141,1,66000000000144
67000000000142,2,"66000000000159,66000000003153"
67000000000143,1,66000000000141
67000000000144,1,66000000000147
67000000000145,1,66000000000150
67000000000146,1,66000000000146
67000000000147,1,66000000000129
67000000000148,1,66000000000139
67000000000149,1,66000000000136
67000000000150,1,66000000000163
67000000000151,2,"66000000000143,66000000009097"
67000000000152,1,66000000000142
67000000000153,1,66000000000051
67000000000154,1,66000000000148
67000000000155,2,"66000000000154,66000000018159"
67000000000156,1,66000000000149
67000000000157,1,66000000000134
67000000000158,1,66000000000151
67000000000159,2,"66000000000160,66000000014902"
67000000000160,1,66000000000153
67000000000161,1,66000000000166
67000000000162,1,66000000000171
67000000000163,2,"66000000000180,66000000004873"
67000000000164,1,66000000000161
67000000000165,1,66000000000164
67000000000166,1,66000000000145
67000000000167,1,66000000000152
67000000000168,1,66000000000155
67000000000169,2,"66000000000165,66000000011082"
67000000000170,2,"66000000000158,66000000012724"
67000000000171,2,"66000000000179,66000000009090"
67000000000172,1,66000000000172
67000000000173,1,66000000000156
67000000000174,1,66000000000249
67000000000175,1,66000000000201
67000000000176,2,"66000000000173,66000000000854"
67000000000177,2,"66000000000140,66000000011456"
67000000000178,2,"66000000000168,66000000000191"
67000000000179,1,66000000000176
67000000000180,1,66000000000181
67000000000181,1,66000000000182
67000000000182,1,66000000000178
67000000000183,2,"66000000000174,66000000015226"
67000000000184,1,66000000000175
67000000000185,1,66000000000183
67000000000186,3,"66000000000192,66000000012367,66000000011177"
67000000000187,2,"66000000000189,66000000013191"
67000000000188,1,66000000000186
67000000000189,1,66000000000199
67000000000190,2,"66000000000169,66000000000210"
67000000000191,2,"66000000000222,66000000019328"
67000000000192,1,66000000000209
67000000000193,1,66000000000190
67000000000194,1,66000000000197
67000000000195,2,"66000000000198,66000000007385"
67000000000196,1,66000000000184
67000000000197,2,"66000000000223,66000000000585"
67000000000198,1,66000000000202
67000000000199,1,66000000000177
67000000000200,1,66000000000188
67000000000201,1,66000000000300
67000000000202,1,66000000000206
67000000000203,1,66000000000194
67000000000204,1,66000000000215
67000000000205,1,66000000000259
67000000000206,2,"66000000000221,66000000013137"
67000000000207,2,"66000000000187,66000000008473"
67000000000208,1,66000000000193
67000000000209,3,"66000000000219,66000000002768,66000000003189"
67000000000210,1,66000000000229
67000000000211,2,"66000000000213,66000000014106"
67000000000212,1,66000000000205
67000000000213,1,66000000000203
67000000000214,1,66000000000200
67000000000215,1,66000000000328
67000000000216,1,66000000000224
67000000000217,2,"66000000000218,66000000003326"
67000000000218,2,"66000000000196,66000000014095"
67000000000219,1,66000000000239
67000000000220,1,66000000000208
67000000000221,1,66000000000227
67000000000222,1,66000000000212
67000000000223,1,66000000000225
67000000000224,2,"66000000000388,66000000002320"
67000000000225,1,66000000000247
67000000000226,1,66000000000195
67000000000227,2,"66000000000211,66000000006843"
67000000000228,1,66000000000217
67000000000229,1,66000000000216
67000000000230,2,"66000000000233,66000000011556"
67000000000231,1,66000000000226
67000000000232,1,66000000000232
67000000000233,1,66000000000235
67000000000234,1,66000000000243
67000000000235,2,"66000000000207,66000000004820"
67000000000236,1,66000000000242
67000000000237,1,66000000000204
67000000000238,1,66000000000251
67000000000239,1,66000000000248
67000000000240,1,66000000000245
67000000000241,2,"66000000000238,66000000007098"
67000000000242,1,66000000000240
67000000000243,1,66000000000214
67000000000244,1,66000000000283
67000000000245,2,"66000000000260,66000000007997"
67000000000247,1,66000000000246
67000000000248,1,66000000000257
67000000000249,1,66000000000293
67000000000250,1,66000000000299
67000000000251,2,"66000000000308,66000000002848"
67000000000252,1,66000000000253
67000000000253,1,66000000000262
67000000000254,2,"66000000000261,66000000014206"
67000000000255,1,66000000000264
67000000000256,1,66000000000254
67000000000257,2,"66000000000274,66000000004159"
67000000000258,1,66000000000289
67000000000259,1,66000000000231
67000000000260,1,66000000000266
67000000000261,1,66000000000271
67000000000262,1,66000000000285
67000000000263,1,66000000000236
67000000000264,1,66000000000270
67000000000265,1,66000000000272
67000000000266,1,66000000000265
67000000000267,1,66000000000287
67000000000268,1,66000000000279
67000000000269,1,66000000000230
67000000000270,2,"66000000000269,66000000013900"
67000000000271,1,66000000000255
67000000000272,2,"66000000000340,66000000003658"
67000000000273,2,"66000000000234,66000000009425"
67000000000274,2,"66000000000294,66000000008360"
