Target Halo ID,Total Halos (Predicted),Total Halos (Real),True Positive,False Positive,False Negative,Total Merger Events (Predicted),Successfully Predicted Merger Events,Total Merger Events
34000000000018,9,9,9,0,0,,0,0.0
45000000000030,22,26,22,0,4,,0,0.0
45000000000012,54,33,33,21,0,,2,2.0
39000000000004,29,25,25,4,0,,2,2.0
35000000000001,38,20,20,18,0,,2,2.0
42000000000432,22,12,12,10,0,,0,0.0
44000000000034,93,29,29,64,0,,2,3.0
44000000000103,17,17,17,0,0,,0,0.0
38000000000034,1,1,1,0,0,,0,0.0
45000000000032,19,19,19,0,0,,1,1.0
43000000000031,19,16,16,3,0,,0,0.0
43000000000015,40,18,18,22,0,,1,1.0
45000000000001,52,39,39,13,0,,4,4.0
40000000000032,59,14,13,46,1,,1,2.0
45000000000295,25,25,25,0,0,,0,0.0
42000000000126,14,14,14,0,0,,0,0.0
41000000000012,26,17,17,9,0,,1,1.0
40000000000044,39,12,12,27,0,,1,1.0
43000000000156,16,16,16,0,0,,0,0.0
43000000000018,67,24,24,43,0,,3,4.0
45000000000041,14,14,14,0,0,,0,0.0
40000000000045,60,28,25,35,3,,1,1.0
42000000000045,53,32,32,21,0,,2,2.0
44000000000021,53,20,20,33,0,,4,4.0
44000000000004,70,25,25,45,0,,3,4.0
44000000000065,25,21,21,4,0,,1,1.0
43000000000023,52,19,19,33,0,,4,4.0
41000000000096,36,16,16,20,0,,2,2.0
45000000000073,32,18,18,14,0,,0,0.0
40000000000019,18,6,6,12,0,,0,0.0
44000000000192,73,29,29,44,0,,1,1.0
39000000000042,2,2,2,0,0,,0,0.0
45000000000027,41,18,18,23,0,,0,0.0
43000000000097,61,14,14,47,0,,1,2.0
38000000000085,19,10,10,9,0,,1,1.0
44000000000026,54,46,31,23,15,,2,2.0
43000000000009,45,17,17,28,0,,2,2.0
45000000000013,95,21,21,74,0,,2,3.0
31000000000021,13,6,6,7,0,,0,0.0
40000000000014,20,20,20,0,0,,0,0.0
43000000000003,95,40,40,55,0,,1,1.0
44000000000177,1,1,1,0,0,,0,0.0
45000000000133,41,23,23,18,0,,1,1.0
43000000000279,51,18,18,33,0,,0,0.0
44000000000150,19,11,11,8,0,,0,0.0
45000000000022,73,38,38,35,0,,5,5.0
43000000000016,45,24,24,21,0,,0,0.0
41000000000009,48,27,27,21,0,,1,1.0
41000000000045,63,29,26,37,3,,1,1.0
44000000000025,40,17,17,23,0,,0,0.0
45000000000424,24,13,13,11,0,,0,0.0
39000000000024,24,24,24,0,0,,2,2.0
39000000000212,2,2,2,0,0,,0,0.0
44000000000019,82,27,26,56,1,,3,5.0
41000000000042,51,43,28,23,15,,2,2.0
43000000000044,60,34,34,26,0,,3,3.0
45000000000048,15,15,15,0,0,,0,0.0
44000000000014,94,20,20,74,0,,2,3.0
45000000000007,58,50,32,26,18,,3,3.0
45000000000138,24,16,16,8,0,,1,1.0
43000000000002,62,20,20,42,0,,2,2.0
45000000000023,61,21,21,40,0,,0,1.0
35000000000021,16,16,16,0,0,,0,0.0
45000000000018,61,30,30,31,0,,3,3.0
41000000000025,67,16,15,52,1,,2,3.0
32000000000012,14,7,7,7,0,,0,0.0
39000000000013,19,19,19,0,0,,0,0.0
43000000000137,21,2,2,19,0,,0,0.0
43000000000047,45,24,24,21,0,,0,0.0
34000000000028,16,4,4,12,0,,0,0.0
43000000000024,32,22,22,10,0,,1,2.0
41000000000083,14,2,2,12,0,,0,0.0
42000000000030,64,30,27,37,3,,1,1.0
30000000000033,12,5,5,7,0,,0,0.0
39000000000011,21,21,21,0,0,,1,1.0
43000000000010,50,29,29,21,0,,1,1.0
42000000000017,35,23,23,12,0,,0,0.0
43000000000040,31,23,23,8,0,,2,2.0
39000000000233,8,1,1,7,0,,0,0.0
42000000000011,60,19,19,41,0,,2,2.0
40000000000008,47,26,26,21,0,,1,1.0
44000000000090,62,15,15,47,0,,1,2.0
34000000000007,26,19,17,9,2,,1,1.0
42000000000020,39,17,17,22,0,,1,1.0
42000000000056,47,17,17,30,0,,3,3.0
39000000000078,20,11,11,9,0,,1,1.0
44000000000418,18,2,2,16,0,,0,0.0
44000000000029,66,36,36,30,0,,4,4.0
38000000000037,38,3,3,35,0,,0,0.0
45000000000002,169,37,37,132,0,,3,3.0
43000000000094,26,5,5,21,0,,0,0.0
44000000000003,96,41,41,55,0,,1,1.0
45000000000005,157,32,32,125,0,,4,5.0
44000000000005,74,27,27,47,0,,2,2.0
39000000000034,28,18,18,10,0,,1,2.0
37000000000001,42,30,30,12,0,,3,3.0
41000000000134,15,11,11,4,0,,0,0.0
39000000000033,2,2,2,0,0,,0,0.0
39000000000006,32,20,20,12,0,,0,0.0
44000000000002,168,36,36,132,0,,3,3.0
