Target Halo ID,Total Halos (Predicted),Total Halos (Real),True Positive,False Positive,False Negative,Total Merger Events (Predicted),Successfully Predicted Merger Events,Total Merger Events
34000000000018,9,9,9,0,0,,0,0.0
45000000000030,26,26,26,0,0,,0,0.0
45000000000012,46,33,33,13,0,,2,2.0
39000000000004,25,25,25,0,0,,2,2.0
35000000000001,36,20,20,16,0,,2,2.0
42000000000432,19,12,12,7,0,,0,0.0
44000000000034,43,29,29,14,0,,2,2.0
44000000000103,17,17,17,0,0,,0,0.0
38000000000034,1,1,1,0,0,,0,0.0
45000000000032,19,19,19,0,0,,1,1.0
43000000000031,16,16,16,0,0,,0,0.0
43000000000015,33,18,18,15,0,,1,1.0
45000000000001,50,39,39,11,0,,4,4.0
40000000000032,45,14,13,32,1,,1,2.0
45000000000295,25,25,25,0,0,,0,0.0
42000000000126,14,14,14,0,0,,0,0.0
41000000000012,18,17,17,1,0,,1,1.0
40000000000044,20,12,12,8,0,,1,1.0
43000000000156,16,16,16,0,0,,0,0.0
43000000000018,24,24,24,0,0,,3,3.0
45000000000041,14,14,14,0,0,,0,0.0
40000000000045,43,28,28,15,0,,1,1.0
42000000000045,47,32,32,15,0,,2,2.0
44000000000021,52,20,20,32,0,,4,4.0
44000000000004,25,25,25,0,0,,3,3.0
44000000000065,21,21,21,0,0,,1,1.0
43000000000023,51,19,19,32,0,,4,4.0
41000000000096,23,16,16,7,0,,2,2.0
45000000000073,18,18,18,0,0,,0,0.0
40000000000019,6,6,6,0,0,,0,0.0
44000000000192,62,29,29,33,0,,1,1.0
39000000000042,2,2,2,0,0,,0,0.0
45000000000027,18,18,18,0,0,,0,0.0
43000000000097,40,14,14,26,0,,1,1.0
38000000000085,15,10,10,5,0,,1,1.0
44000000000026,41,46,32,9,14,,2,2.0
43000000000009,23,17,17,6,0,,2,2.0
45000000000013,55,21,21,34,0,,2,2.0
31000000000021,6,6,6,0,0,,0,0.0
40000000000014,20,20,20,0,0,,0,0.0
43000000000003,44,40,40,4,0,,1,1.0
44000000000177,1,1,1,0,0,,0,0.0
45000000000133,23,23,23,0,0,,1,1.0
43000000000279,26,18,18,8,0,,0,0.0
44000000000150,13,11,11,2,0,,0,0.0
45000000000022,69,38,38,31,0,,5,5.0
43000000000016,36,24,24,12,0,,0,0.0
41000000000009,40,27,27,13,0,,1,1.0
41000000000045,44,29,29,15,0,,1,1.0
44000000000025,17,17,17,0,0,,0,0.0
45000000000424,13,13,13,0,0,,0,0.0
39000000000024,24,24,24,0,0,,2,2.0
39000000000212,2,2,2,0,0,,0,0.0
44000000000019,57,27,26,31,1,,3,4.0
41000000000042,38,43,29,9,14,,2,2.0
43000000000044,50,34,34,16,0,,3,3.0
45000000000048,15,15,15,0,0,,0,0.0
44000000000014,54,20,20,34,0,,2,2.0
45000000000007,41,50,32,9,18,,3,3.0
45000000000138,17,16,16,1,0,,1,1.0
43000000000002,32,20,20,12,0,,2,2.0
45000000000023,21,21,21,0,0,,0,0.0
35000000000021,16,16,16,0,0,,0,0.0
45000000000018,49,30,30,19,0,,3,3.0
41000000000025,48,16,15,33,1,,2,3.0
32000000000012,7,7,7,0,0,,0,0.0
39000000000013,19,19,19,0,0,,0,0.0
43000000000137,22,2,2,20,0,,0,0.0
43000000000047,24,24,24,0,0,,0,0.0
34000000000028,4,4,4,0,0,,0,0.0
43000000000024,22,22,22,0,0,,1,1.0
41000000000083,14,2,2,12,0,,0,0.0
42000000000030,45,30,30,15,0,,1,1.0
30000000000033,5,5,5,0,0,,0,0.0
39000000000011,21,21,21,0,0,,1,1.0
43000000000010,42,29,29,13,0,,1,1.0
42000000000017,35,23,23,12,0,,0,0.0
43000000000040,30,23,23,7,0,,2,2.0
39000000000233,3,1,1,2,0,,0,0.0
42000000000011,31,19,19,12,0,,2,2.0
40000000000008,39,26,26,13,0,,1,1.0
44000000000090,43,15,15,28,0,,1,1.0
34000000000007,24,19,15,9,4,,1,1.0
42000000000020,32,17,17,15,0,,1,1.0
42000000000056,47,17,17,30,0,,3,3.0
39000000000078,16,11,11,5,0,,1,1.0
44000000000418,18,2,2,16,0,,0,0.0
44000000000029,59,36,36,23,0,,4,4.0
38000000000037,3,3,3,0,0,,0,0.0
45000000000002,65,37,37,28,0,,3,3.0
43000000000094,21,5,5,16,0,,0,0.0
44000000000003,45,41,41,4,0,,1,1.0
45000000000005,47,32,32,15,0,,4,4.0
44000000000005,27,27,27,0,0,,2,2.0
39000000000034,18,18,18,0,0,,1,1.0
37000000000001,40,30,30,10,0,,3,3.0
41000000000134,11,11,11,0,0,,0,0.0
39000000000033,2,2,2,0,0,,0,0.0
39000000000006,20,20,20,0,0,,0,0.0
44000000000002,64,36,36,28,0,,3,3.0
