Target Halo ID,Total Halos (Predicted),Total Halos (Real),True Positive,False Positive,False Negative,Total Merger Events (Predicted),Successfully Predicted Merger Events,Total Merger Events
34000000000018,9,9,9,0,0,,0,0.0
45000000000030,26,26,26,0,0,,0,0.0
45000000000012,49,33,33,16,0,,2,2.0
39000000000004,29,25,25,4,0,,2,2.0
35000000000001,20,20,20,0,0,,2,2.0
42000000000432,19,12,12,7,0,,0,0.0
44000000000034,53,29,29,24,0,,2,3.0
44000000000103,17,17,17,0,0,,0,0.0
38000000000034,1,1,1,0,0,,0,0.0
45000000000032,31,19,19,12,0,,1,2.0
43000000000031,16,16,16,0,0,,0,0.0
43000000000015,47,18,18,29,0,,1,1.0
45000000000001,33,39,32,1,7,,4,4.0
40000000000032,23,14,14,9,0,,1,1.0
45000000000295,37,25,25,12,0,,0,0.0
42000000000126,14,14,14,0,0,,0,0.0
41000000000012,17,17,17,0,0,,1,1.0
40000000000044,21,12,12,9,0,,1,1.0
43000000000156,17,16,16,1,0,,0,0.0
43000000000018,27,24,24,3,0,,3,3.0
45000000000041,14,14,14,0,0,,0,0.0
40000000000045,29,28,28,1,0,,1,1.0
42000000000045,47,32,32,15,0,,2,2.0
44000000000021,54,20,20,34,0,,4,4.0
44000000000004,30,25,25,5,0,,3,3.0
44000000000065,21,21,21,0,0,,1,1.0
43000000000023,51,19,19,32,0,,4,4.0
41000000000096,21,16,16,5,0,,2,2.0
45000000000073,42,18,18,24,0,,0,0.0
40000000000019,6,6,6,0,0,,0,0.0
44000000000192,63,29,29,34,0,,1,1.0
39000000000042,2,2,2,0,0,,0,0.0
45000000000027,39,18,18,21,0,,0,0.0
43000000000097,41,14,14,27,0,,1,1.0
38000000000085,14,10,10,4,0,,1,1.0
44000000000026,37,46,32,5,14,,2,2.0
43000000000009,32,17,17,15,0,,2,2.0
45000000000013,70,21,21,49,0,,2,2.0
31000000000021,6,6,6,0,0,,0,0.0
40000000000014,20,20,20,0,0,,0,0.0
43000000000003,43,40,40,3,0,,1,1.0
44000000000177,1,1,1,0,0,,0,0.0
45000000000133,42,23,23,19,0,,1,1.0
43000000000279,43,18,18,25,0,,0,0.0
44000000000150,14,11,11,3,0,,0,0.0
45000000000022,66,38,38,28,0,,5,5.0
43000000000016,39,24,24,15,0,,0,0.0
41000000000009,42,27,27,15,0,,1,1.0
41000000000045,31,29,29,2,0,,1,1.0
44000000000025,37,17,17,20,0,,0,0.0
45000000000424,13,13,13,0,0,,0,0.0
39000000000024,22,24,22,0,2,,2,2.0
39000000000212,2,2,2,0,0,,0,0.0
44000000000019,54,27,27,27,0,,3,5.0
41000000000042,34,43,29,5,14,,2,2.0
43000000000044,51,34,34,17,0,,3,3.0
45000000000048,15,15,15,0,0,,0,0.0
44000000000014,67,20,20,47,0,,2,2.0
45000000000007,46,50,32,14,18,,3,3.0
45000000000138,17,16,16,1,0,,1,1.0
43000000000002,57,20,20,37,0,,2,2.0
45000000000023,48,21,21,27,0,,0,0.0
35000000000021,16,16,16,0,0,,0,0.0
45000000000018,32,30,30,2,0,,3,3.0
41000000000025,26,16,16,10,0,,2,2.0
32000000000012,7,7,7,0,0,,0,0.0
39000000000013,19,19,19,0,0,,0,0.0
43000000000137,20,2,2,18,0,,0,0.0
43000000000047,24,24,24,0,0,,0,0.0
34000000000028,18,4,4,14,0,,0,0.0
43000000000024,37,22,22,15,0,,1,2.0
41000000000083,14,2,2,12,0,,0,0.0
42000000000030,44,30,30,14,0,,1,1.0
30000000000033,5,5,5,0,0,,0,0.0
39000000000011,23,21,21,2,0,,1,1.0
43000000000010,45,29,29,16,0,,1,1.0
42000000000017,37,23,23,14,0,,0,0.0
43000000000040,31,23,23,8,0,,2,2.0
39000000000233,3,1,1,2,0,,0,0.0
42000000000011,53,19,19,34,0,,2,2.0
40000000000008,39,26,26,13,0,,1,1.0
44000000000090,43,15,15,28,0,,1,1.0
34000000000007,23,19,15,8,4,,1,1.0
42000000000020,45,17,17,28,0,,1,1.0
42000000000056,40,17,17,23,0,,3,3.0
39000000000078,16,11,11,5,0,,1,1.0
44000000000418,3,2,2,1,0,,0,0.0
44000000000029,59,36,36,23,0,,4,4.0
38000000000037,19,3,3,16,0,,0,0.0
45000000000002,69,37,37,32,0,,3,3.0
43000000000094,26,5,5,21,0,,0,0.0
44000000000003,44,41,41,3,0,,1,1.0
45000000000005,66,32,32,34,0,,4,4.0
44000000000005,61,27,27,34,0,,2,2.0
39000000000034,29,18,18,11,0,,1,2.0
37000000000001,23,30,23,0,7,,3,3.0
41000000000134,11,11,11,0,0,,0,0.0
39000000000033,12,2,2,10,0,,0,0.0
39000000000006,20,20,20,0,0,,0,0.0
44000000000002,67,36,36,31,0,,3,3.0
